jeu_100_50_1.txt,83159,62103.584,14401.720975596772,6.055
jeu_100_50_1.txt,83409,63204.854,15206.403797107449,6.26
jeu_100_50_1.txt,83212,62079.242,14666.046954494459,5.895
jeu_100_50_1.txt,82637,63342.264,13471.856204335909,5.776
jeu_100_50_1.txt,81862,60722.728,13584.55340517369,5.763
jeu_100_50_1.txt,82657,63469.932,15478.2165654631,6.05
jeu_100_50_1.txt,82077,62709.38,14678.771971919174,5.795
jeu_100_50_1.txt,83030,61036.134,14775.192318885196,6.002
jeu_100_50_1.txt,83248,61716.23,14988.244320703487,5.777
jeu_100_50_1.txt,82036,62118.052,14191.579554697075,5.835
