jeu_100_50_3.txt,55965,37442.71,13892.72881,5.401,
jeu_100_50_3.txt,55580,34870,12605.41376,5.276,
jeu_100_50_3.txt,55901,37469.34,13011.08442,5.137,
jeu_100_50_3.txt,55800,34488.528,12842.00355,5.207,
jeu_100_50_3.txt,55565,37310.762,14080.17404,5.235,
jeu_100_50_3.txt,54825,36467.704,13078.16491,5.428,
jeu_100_50_3.txt,53601,34720.584,12114.37263,5.371,
jeu_100_50_3.txt,55399,36598.962,12491.05697,5.562,
jeu_100_50_3.txt,55462,36294.36,12098.31336,5.831,
jeu_100_50_3.txt,55532,38633.73,13163.30335,5.868,
,55965,36429.668,12937.66158,5.4316,1370.780809
